name,province,lat,lng,population
100 Mile House,BC,51.64982,-121.28594,1980
Fort St. James,BC,54.45597,-124.26275,1386
Abbotsford,BC,49.05798,-122.25257,141397
Abbottsfield,AB,53.57273,-113.39195,1775
Aberdeen,BC,50.65,-120.36667,12437
Acadia,AB,50.97172,-114.05688,9915
Acton,ON,43.62969,-80.04149,9377
Acton Vale,QC,45.65007,-72.56582,7656
Adstock,QC,46.05007,-71.08235,2643
Advocate Harbour,NS,45.33337,-64.77752,826
Agassiz,BC,49.23298,-121.76926,6300
Agincourt North,ON,43.80418,-79.27528,29113
Ahuntsic-Cartierville,QC,45.56667,-73.66667,135336
Airdrie,AB,51.30011,-114.03528,90044
Ajax,ON,43.85012,-79.03288,119677
Aklavik,NT,68.21913,-135.01071,590
Akulivik,QC,60.80056,-78.19935,642
Albanel,QC,48.88324,-72.44867,1087
Alberta Avenue,AB,53.56667,-113.48333,6581
Albert Bridge,NS,46.01654,-60.05951,1285
Alberton,PE,46.81685,-64.06542,1301
Albert Park,SK,50.40726,-104.63111,12475
Albion,BC,49.18751,-122.55687,12424
Albro Lake,NS,44.68414,-63.58129,8503
Alderwood,ON,43.60348,-79.54604,12054
Aldouane,NB,46.63343,-65.06544,947
Alexandria,ON,45.31317,-74.63665,2906
Alix,AB,52.40012,-113.18525,774
Allendale,AB,53.5028,-113.50516,2728
Alliston,ON,44.15011,-79.86635,18809
Alma,QC,48.55009,-71.6491,29526
Alpine,ON,43.42361,-80.48028,3203
Altadore,AB,51.01651,-114.10323,7290
Altamont,BC,49.34078,-123.20253,1064
Alta Vista,ON,45.38639,-75.65806,24726
Altona,MB,49.10469,-97.55961,4212
Amethyst Harbour,ON,48.54267,-88.87291,3247
Amherst,NS,45.83345,-64.19874,9404
Amherstburg,ON,42.10009,-83.09985,13910
Amherstview,ON,44.22327,-76.64538,7959
Amigo Beach,ON,44.6919,-79.39317,1545
Amos,QC,48.56688,-78.11624,17918
Ange-Gardien,QC,45.35008,-72.93244,2420
Angus,ON,44.31681,-79.88295,10269
Anmore,BC,49.31637,-122.85263,2210
Annapolis Royal,NS,44.74268,-65.51761,530
Anten Mills,ON,44.4815,-79.81722,800
Antigonish,NS,45.61685,-61.99858,5003
Anzac,AB,56.45021,-111.03512,506
Appleton,NL,48.98322,-54.86486,620
Applewood Park,AB,51.04306,-113.925,6830
Arborg,MB,50.90721,-97.21757,1279
Arbour Lake,AB,51.13472,-114.20278,10335
Arbutus Ridge,BC,49.24966,-123.16934,15295
Arctic Bay,NU,73.03752,-85.15057,841
Ardmore,BC,48.63854,-123.46933,1014
Ardrossan,AB,53.55014,-113.13529,1238
Argyle Park,SK,50.49032,-104.62833,6095
Argyll,AB,53.50278,-113.45972,853
Armdale,NS,44.63593,-63.62636,16502
